Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8, Date: 04-12-2024, Resolution: 1920x1080 • Faster, Response Time: 445ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8, Date: 04-12-2024, Resolution: 1920x1080 • Fastest, Response Time: 454ms
Name: CCTV-1, URL: http://123.145.79.12:8001/udp/225.0.4.74:7980, Date: 04-09-2024, Resolution: 1920x1080 • Fast, Response Time: 501ms
Name: CCTV-1, URL: http://123.10.79.164:808/hls/1/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080 • Fastest, Response Time: 525ms
Name: CCTV-1, URL: http://1.198.26.192:808/hls/1/index.m3u8, Date: 04-12-2024, Resolution: 1920x1080 • Faster, Response Time: 526ms
Name: CCTV-1, URL: http://123.10.76.176:808/hls/1/index.m3u8, Date: 04-02-2024, Resolution: 1920x1080 • Faster, Response Time: 534ms
Name: CCTV-1, URL: http://121.24.99.30:8090/hls/9/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080, Response Time: 539ms
Name: CCTV-1, URL: http://171.11.172.73:808/hls/1/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080 • Faster, Response Time: 540ms
Name: CCTV-1, URL: http://123.149.206.177:8800/rtp/239.16.20.1:10010, Date: 04-10-2024, Resolution: 1920x1080 • Faster, Response Time: 557ms
Name: CCTV-1, URL: http://117.43.217.34:20000/hls/1/index.m3u8, Date: 04-11-2024, Resolution: 1920x1080 • Fast, Response Time: 570ms
Name: CCTV-1, URL: http://60.4.3.23:8888/rtp/239.253.92.83:8012, Date: 04-12-2024, Resolution: 1920x1080, Response Time: 586ms
Name: CCTV-1, URL: http://pwd.unnas.top:4000/rtp/239.253.92.83:8012, Date: 04-12-2024, Resolution: 1920x1080 • Fast, Response Time: 1660ms
Name: CCTV-1, URL: http://stream.smntv.cn/smtv1/sd/live.m3u8, Date: 04-12-2024, Resolution: 1280x720 • Fastest, Response Time: 1019ms
Name: CCTV-1, URL: http://stream.smntv.cn/smtv1/sd/live.m3u8, Date: 04-11-2024, Resolution: 1280x720 • Faster, Response Time: 1028ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8, Date: 04-12-2024, Resolution:  Fastest, Response Time: 456ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8, Date: 04-12-2024, Resolution:  Faster, Response Time: 462ms
Name: CCTV-1, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8, Date: 04-12-2024, Resolution:  Fastest, Response Time: 473ms
Name: CCTV-1, URL: http://117.141.149.101:9901/tsfile/live/1010_1.m3u8, Date: 03-27-2024, Resolution: None, Response Time: 537ms
Name: CCTV-1, URL: http://117.141.149.101:4431/tsfile/live/faacts/1010_1.m3u8, Date: 03-29-2024, Resolution:  Fast, Response Time: 550ms
Name: CCTV-1, URL: http://123.187.46.90:65000/hls/1/index.m3u8, Date: 03-18-2024, Resolution:  Fastest, Response Time: 588ms
Name: CCTV-1, URL: http://110.7.128.200:8096/tsfile/live/0001_1.m3u8, Date: 02-25-2024, Resolution: None, Response Time: 627ms
Name: CCTV-1, URL: http://222.83.181.3:9901/tsfile/live/1005_1.m3u8, Date: 03-26-2024, Resolution: None, Response Time: 2062ms
Name: CCTV-2, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8, Date: 04-10-2024, Resolution: 1920x1080 • Faster, Response Time: 449ms
Name: CCTV-2, URL: http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8, Date: 04-12-2024, Resolution: 1920x1080 • Faster, Response Time: 458ms
